Episode,Steps,Reward,Outcome,Final_Distance,Min_Distance,Epsilon
0,600,-206.23,timeout,1.457,1.077,0.9188
1,600,-92.02,timeout,2.877,2.587,0.8361
2,250,-192.96,collision,1.937,1.566,0.8041
3,600,229.97,timeout,1.310,1.310,0.7323
4,600,193.55,timeout,0.394,0.395,0.6674
5,449,-218.63,collision,2.544,2.000,0.6229
6,600,316.67,timeout,0.927,0.930,0.5683
7,90,-160.01,collision,2.659,2.472,0.5606
8,600,-51.26,timeout,1.723,1.077,0.5120
9,274,-168.36,collision,3.365,2.874,0.4914
10,373,-36.09,collision,1.358,1.350,0.4648
11,507,-124.10,collision,2.200,1.526,0.4312
12,600,161.65,timeout,1.103,1.103,0.3949
13,600,96.11,timeout,2.891,2.894,0.3621
14,600,264.44,timeout,1.874,1.876,0.3324
15,600,50.58,timeout,2.061,1.817,0.3055
16,600,46.89,timeout,3.283,3.060,0.2812
17,600,215.88,timeout,0.622,0.622,0.2592
18,91,-3.83,collision,2.263,2.263,0.2561
19,600,-161.37,timeout,3.595,1.942,0.2364
20,600,323.95,timeout,1.130,1.130,0.2187
21,382,58.18,collision,0.676,0.246,0.2083
22,215,310.38,goal,0.193,0.193,0.2027
23,85,-79.37,collision,3.657,3.505,0.2006
24,443,-178.13,collision,4.512,2.640,0.1899
25,600,-33.33,timeout,2.524,1.414,0.1765
26,72,-46.55,collision,2.989,2.989,0.1750
27,419,-19.75,collision,0.974,0.843,0.1666
28,600,97.62,timeout,1.226,0.622,0.1555
29,182,-81.65,collision,2.368,2.334,0.1524
30,432,46.70,collision,0.721,0.721,0.1452
31,218,-59.16,collision,2.734,2.280,0.1418
32,600,71.18,timeout,0.973,0.893,0.1331
33,472,129.97,collision,0.445,0.445,0.1268
34,273,24.87,collision,0.592,0.592,0.1234
35,375,-115.76,collision,2.764,1.612,0.1190
36,295,72.82,collision,1.012,1.012,0.1156
37,527,111.95,collision,0.621,0.229,0.1101
38,240,43.16,collision,0.891,0.891,0.1078
39,600,-141.77,timeout,3.190,1.403,0.1023
40,370,105.20,collision,0.852,0.852,0.0991
41,173,45.89,collision,0.331,0.331,0.0977
42,260,-124.77,collision,2.147,1.300,0.0957
43,393,54.62,collision,0.657,0.657,0.0928
44,204,20.41,collision,1.104,1.104,0.0914
45,349,85.90,collision,1.157,1.157,0.0891
46,210,-2.24,collision,0.563,0.563,0.0877
47,218,291.22,goal,0.194,0.194,0.0864
48,600,65.12,timeout,0.241,0.241,0.0829
49,208,54.70,collision,1.802,1.802,0.0818
50,181,-41.18,collision,1.226,1.140,0.0808
51,243,309.87,goal,0.199,0.199,0.0796
52,87,-37.07,collision,3.171,3.171,0.0792
53,265,-45.52,collision,0.913,0.913,0.0779
54,148,35.87,collision,0.391,0.391,0.0772
55,313,3.95,collision,1.698,1.698,0.0759
56,327,49.28,collision,0.618,0.618,0.0745
57,204,310.63,goal,0.190,0.190,0.0737
58,230,-63.38,collision,1.533,1.084,0.0728
59,326,21.70,collision,1.423,1.423,0.0716
60,205,280.97,goal,0.200,0.200,0.0709
61,505,170.19,collision,1.148,1.148,0.0692
62,504,367.87,goal,0.200,0.200,0.0676
63,341,123.26,collision,1.007,1.007,0.0667
64,600,138.16,timeout,1.111,0.262,0.0651
65,177,34.24,collision,1.555,1.555,0.0646
66,323,348.27,goal,0.199,0.199,0.0639
67,600,261.96,timeout,0.402,0.406,0.0625
68,36,-60.56,collision,2.457,2.188,0.0625
69,225,-10.84,collision,0.502,0.502,0.0620
70,228,283.05,goal,0.197,0.197,0.0616
71,254,315.44,goal,0.198,0.198,0.0611
72,24,-67.58,collision,1.685,1.661,0.0610
73,187,307.65,goal,0.195,0.195,0.0607
74,469,296.88,goal,0.195,0.195,0.0599
75,133,-15.91,collision,0.681,0.681,0.0597
76,226,27.52,collision,0.608,0.608,0.0593
77,223,275.64,goal,0.189,0.189,0.0590
78,22,-61.55,collision,2.227,2.073,0.0589
79,257,359.24,goal,0.200,0.200,0.0586
80,214,-27.85,collision,1.747,1.747,0.0583
81,213,323.37,goal,0.194,0.194,0.0580
82,103,262.08,goal,0.192,0.192,0.0578
83,400,292.03,goal,0.198,0.198,0.0573
84,183,-132.83,collision,1.107,1.107,0.0571
85,220,274.37,goal,0.199,0.199,0.0569
86,279,304.94,goal,0.192,0.192,0.0566
87,482,125.11,collision,0.588,0.588,0.0560
88,204,262.42,goal,0.195,0.195,0.0558
89,146,249.97,goal,0.188,0.188,0.0557
90,237,332.80,goal,0.188,0.188,0.0555
91,256,265.62,goal,0.186,0.186,0.0553
92,247,308.02,goal,0.195,0.195,0.0550
93,600,-1.30,timeout,1.476,1.491,0.0546
94,320,320.73,goal,0.197,0.197,0.0543
95,41,-37.77,collision,3.373,3.373,0.0543
96,189,297.52,goal,0.192,0.192,0.0542
97,119,256.11,goal,0.180,0.180,0.0541
98,367,97.03,collision,0.431,0.431,0.0538
99,81,252.12,goal,0.192,0.192,0.0538
100,77,-5.84,collision,1.174,1.174,0.0537
101,173,295.77,goal,0.197,0.197,0.0536
102,266,378.76,goal,0.193,0.193,0.0535
103,164,283.83,goal,0.193,0.193,0.0534
104,104,246.93,goal,0.167,0.167,0.0533
105,158,294.86,goal,0.180,0.180,0.0532
106,261,323.15,goal,0.198,0.198,0.0531
107,36,-45.97,collision,3.284,3.284,0.0531
108,100,275.76,goal,0.191,0.191,0.0530
109,141,286.51,goal,0.195,0.195,0.0530
110,102,4.32,collision,1.515,1.515,0.0529
111,379,-234.28,collision,0.940,0.940,0.0527
112,137,-1.03,collision,0.758,0.758,0.0527
113,136,275.51,goal,0.198,0.198,0.0526
114,147,262.48,goal,0.184,0.184,0.0525
115,247,89.09,collision,0.262,0.262,0.0524
116,421,-79.63,collision,0.914,0.914,0.0523
117,59,242.23,goal,0.197,0.197,0.0523
118,52,239.80,goal,0.197,0.197,0.0522
119,149,314.33,goal,0.189,0.189,0.0522
120,235,264.81,goal,0.189,0.189,0.0521
121,480,275.91,goal,0.189,0.189,0.0519
122,109,-34.00,collision,2.362,2.362,0.0519
