Episode,Steps,Reward,Success,Collision,Timeout,Final_Distance,Min_Distance,Epsilon
0,800,-578.51,0,0,1,2.634,1.985,0.8905
1,800,-427.04,0,0,1,1.045,0.654,0.7856
2,800,68.03,0,0,1,1.354,1.276,0.6937
3,800,393.48,0,0,1,0.985,0.985,0.6134
4,800,202.38,0,0,1,1.642,1.644,0.5431
5,117,217.52,1,0,0,0.347,0.347,0.5335
6,800,-68.02,0,0,1,1.778,1.778,0.4732
7,800,183.89,0,0,1,1.071,1.071,0.4204
8,500,256.54,1,0,0,0.347,0.347,0.3907
9,559,587.43,1,0,0,0.349,0.349,0.3604
10,651,-396.49,0,1,0,1.225,1.225,0.3285
11,800,473.05,0,0,1,1.318,1.320,0.2937
12,1,200.00,1,0,0,0.224,0.224,0.2937
13,603,649.72,1,0,0,0.350,0.350,0.2704
14,720,-246.89,0,1,0,0.650,0.650,0.2455
15,800,322.74,0,0,1,0.898,0.898,0.2211
16,594,601.62,1,0,0,0.348,0.348,0.2050
17,537,569.37,1,0,0,0.349,0.349,0.1917
18,475,-197.46,0,1,0,1.170,1.170,0.1809
19,644,7.31,0,1,0,0.763,0.763,0.1676
20,252,384.23,1,0,0,0.348,0.348,0.1627
21,635,-66.79,0,1,0,1.260,1.260,0.1514
22,510,174.14,1,0,0,0.348,0.348,0.1432
23,651,-427.32,0,1,0,0.825,0.825,0.1336
24,430,-29.97,0,1,0,0.459,0.459,0.1278
25,639,13.07,0,1,0,0.433,0.433,0.1199
26,338,335.12,1,0,0,0.350,0.350,0.1161
27,748,251.24,0,1,0,1.357,1.357,0.1084
28,477,-44.56,0,1,0,1.307,1.307,0.1039
29,215,235.21,1,0,0,0.349,0.349,0.1020
30,389,-33.88,0,1,0,1.176,1.176,0.0987
31,1,200.00,1,0,0,0.300,0.300,0.0987
32,675,-6.45,0,1,0,0.985,0.608,0.0935
33,407,-21.04,0,1,0,0.614,0.614,0.0907
34,201,378.88,1,0,0,0.348,0.348,0.0893
35,68,239.01,1,0,0,0.348,0.348,0.0889
36,57,233.38,1,0,0,0.350,0.350,0.0885
37,800,618.32,0,0,1,2.041,2.041,0.0837
38,436,554.03,1,0,0,0.348,0.348,0.0814
39,140,287.10,1,0,0,0.343,0.343,0.0806
40,531,-145.31,0,1,0,1.525,1.525,0.0780
41,511,-0.54,0,1,0,1.026,1.026,0.0758
42,800,406.26,0,0,1,0.569,0.571,0.0725
43,136,315.44,1,0,0,0.343,0.343,0.0720
44,204,352.56,1,0,0,0.349,0.349,0.0713
45,660,35.39,0,1,0,0.885,0.885,0.0691
46,800,-183.46,0,0,1,1.154,1.152,0.0667
47,800,579.56,0,0,1,0.794,0.794,0.0646
48,1,200.00,1,0,0,0.300,0.300,0.0646
49,800,247.69,0,0,1,1.383,1.384,0.0628
50,800,473.96,0,0,1,1.193,1.193,0.0612
51,800,521.18,0,0,1,1.890,1.890,0.0598
52,227,311.01,1,0,0,0.344,0.344,0.0594
53,153,251.81,1,0,0,0.347,0.347,0.0592
54,800,-184.57,0,0,1,0.847,0.846,0.0580
55,800,349.98,0,0,1,0.882,0.882,0.0570
56,800,-711.94,0,0,1,0.463,0.462,0.0562
57,78,255.06,1,0,0,0.347,0.347,0.0561
58,800,333.67,0,0,1,0.578,0.578,0.0553
59,679,279.79,1,0,0,0.340,0.340,0.0548
60,659,205.67,1,0,0,0.345,0.345,0.0543
61,154,194.47,1,0,0,0.349,0.349,0.0542
62,158,242.69,1,0,0,0.345,0.345,0.0540
63,192,305.15,1,0,0,0.340,0.340,0.0539
64,218,-24.44,0,1,0,1.522,1.522,0.0538
65,1,-100.00,0,1,0,2.195,2.195,0.0538
66,377,-214.94,0,1,0,0.886,0.649,0.0535
67,1,-100.00,0,1,0,2.263,2.263,0.0535
68,800,-1530.74,0,0,1,1.400,1.392,0.0531
69,190,-148.95,0,1,0,0.841,0.841,0.0530
70,1,-100.00,0,1,0,2.687,2.687,0.0530
71,200,164.37,1,0,0,0.345,0.345,0.0529
72,269,354.69,1,0,0,0.341,0.341,0.0528
73,203,305.41,1,0,0,0.340,0.340,0.0527
74,129,320.62,1,0,0,0.333,0.333,0.0526
75,34,222.17,1,0,0,0.345,0.345,0.0526
76,204,-94.28,0,1,0,0.851,0.851,0.0525
77,1,-100.00,0,1,0,2.163,2.163,0.0525
78,111,-148.90,0,1,0,0.787,0.783,0.0525
79,1,-100.00,0,1,0,1.432,1.432,0.0525
80,48,238.69,1,0,0,0.340,0.340,0.0525
81,1,200.00,1,0,0,0.316,0.316,0.0525
82,1,200.00,1,0,0,0.224,0.224,0.0525
83,15,196.73,1,0,0,0.349,0.349,0.0525
84,129,-157.24,0,1,0,1.334,1.334,0.0524
85,1,-100.00,0,1,0,1.924,1.924,0.0524
86,121,260.10,1,0,0,0.347,0.347,0.0524
87,115,-150.94,0,1,0,0.913,0.913,0.0523
88,1,-100.00,0,1,0,1.992,1.992,0.0523
89,53,244.05,1,0,0,0.347,0.347,0.0523
90,162,245.95,1,0,0,0.342,0.342,0.0522
91,164,249.35,1,0,0,0.337,0.337,0.0522
92,117,-124.38,0,1,0,1.685,1.685,0.0521
93,1,-100.00,0,1,0,2.283,2.283,0.0521
94,396,447.12,1,0,0,0.342,0.342,0.0520
95,174,-126.73,0,1,0,0.953,0.953,0.0519
96,1,-100.00,0,1,0,1.992,1.992,0.0519
97,214,139.92,1,0,0,0.337,0.337,0.0519
98,191,-89.24,0,1,0,1.118,1.118,0.0518
99,1,-100.00,0,1,0,2.500,2.500,0.0518
100,111,-135.14,0,1,0,0.822,0.822,0.0518
101,1,-100.00,0,1,0,1.500,1.500,0.0518
102,278,127.23,1,0,0,0.334,0.334,0.0517
103,80,243.30,1,0,0,0.349,0.349,0.0517
104,460,-312.43,0,1,0,0.693,0.644,0.0515
105,1,-100.00,1,0,0,0.141,0.141,0.0515
106,800,-266.43,0,0,1,0.902,0.882,0.0514
107,98,263.67,1,0,0,0.343,0.343,0.0513
108,800,-974.67,0,0,1,1.064,0.979,0.0512
109,45,244.29,1,0,0,0.348,0.348,0.0512
110,97,-145.40,0,1,0,0.469,0.466,0.0511
111,1,-100.00,0,1,0,2.476,2.476,0.0511
112,80,231.36,1,0,0,0.335,0.335,0.0511
113,123,310.09,1,0,0,0.338,0.338,0.0511
114,60,242.40,1,0,0,0.348,0.348,0.0511
115,223,123.68,1,0,0,0.343,0.343,0.0510
116,203,268.87,1,0,0,0.346,0.346,0.0510
117,91,223.40,1,0,0,0.349,0.349,0.0510
118,113,205.25,1,0,0,0.343,0.343,0.0510
119,126,-172.19,0,1,0,0.423,0.423,0.0510
120,1,-100.00,0,1,0,1.836,1.836,0.0510
121,134,223.69,1,0,0,0.339,0.339,0.0509
122,1,-100.00,0,1,0,1.044,1.044,0.0509
123,207,229.02,1,0,0,0.346,0.346,0.0509
124,90,283.87,1,0,0,0.347,0.347,0.0509
125,396,-123.79,0,1,0,0.831,0.831,0.0508
126,1,-100.00,0,1,0,1.676,1.676,0.0508
127,97,290.85,1,0,0,0.332,0.332,0.0508
128,219,-45.79,0,1,0,1.236,1.236,0.0508
129,1,-100.00,0,1,0,1.868,1.868,0.0508
130,217,-112.05,0,1,0,0.622,0.622,0.0508
131,1,-100.00,0,1,0,1.265,1.265,0.0508
132,137,215.50,1,0,0,0.341,0.341,0.0507
133,191,331.79,1,0,0,0.334,0.334,0.0507
134,213,359.91,1,0,0,0.349,0.349,0.0507
135,27,241.48,1,0,0,0.336,0.336,0.0507
136,72,222.40,1,0,0,0.344,0.344,0.0507
137,54,235.01,1,0,0,0.344,0.344,0.0507
138,177,-56.95,0,1,0,0.854,0.854,0.0507
139,1,-100.00,0,1,0,2.000,2.000,0.0507
140,147,-89.38,0,1,0,0.867,0.867,0.0506
141,1,-100.00,0,1,0,0.671,0.671,0.0506
142,82,267.30,1,0,0,0.350,0.350,0.0506
143,460,-0.05,0,1,0,1.241,1.241,0.0506
144,1,-100.00,0,1,0,1.005,1.005,0.0506
145,52,238.52,1,0,0,0.336,0.336,0.0506
146,70,261.34,1,0,0,0.327,0.327,0.0506
147,278,-609.42,0,1,0,0.873,0.873,0.0506
148,166,294.33,1,0,0,0.347,0.347,0.0505
149,86,192.89,1,0,0,0.349,0.349,0.0505
150,272,308.68,1,0,0,0.340,0.340,0.0505
151,152,161.25,1,0,0,0.344,0.344,0.0505
152,282,321.61,1,0,0,0.337,0.337,0.0505
153,25,208.66,1,0,0,0.342,0.342,0.0505
154,464,157.08,0,1,0,0.983,0.983,0.0504
155,1,-100.00,0,1,0,0.671,0.671,0.0504
156,540,-1178.42,0,1,0,0.358,0.358,0.0504
157,1,-100.00,0,1,0,1.526,1.526,0.0504
158,800,-1567.47,0,0,1,1.230,1.228,0.0503
159,149,315.29,1,0,0,0.344,0.344,0.0503
160,800,436.30,0,0,1,1.223,0.820,0.0503
161,201,-33.62,1,0,0,0.350,0.350,0.0503
162,800,564.23,0,0,1,1.813,1.812,0.0503
