Episode,Steps,Reward,Outcome,Final_Distance,Min_Distance,Epsilon
0,1000,366.82,timeout,1.460,1.461,0.8628
1,1000,-739.79,timeout,2.920,2.121,0.7380
2,1000,-1376.30,timeout,2.880,1.616,0.6324
3,1000,-241.84,timeout,3.470,2.617,0.5430
4,609,-789.71,collision,2.650,1.860,0.4954
5,611,-821.30,collision,3.370,2.360,0.4523
6,1000,-111.65,timeout,1.647,1.648,0.3905
7,1000,-1254.92,timeout,2.097,1.997,0.3382
8,1000,126.62,timeout,1.625,1.626,0.2940
9,701,847.91,goal,0.296,0.296,0.2671
10,784,-319.80,collision,2.002,1.552,0.2405
11,583,-925.50,collision,2.275,2.146,0.2229
12,1000,-168.67,timeout,2.150,1.618,0.1963
13,541,322.08,goal,0.297,0.297,0.1837
14,785,-225.71,collision,1.186,1.115,0.1673
15,414,-347.88,collision,1.602,1.300,0.1595
16,705,-217.64,collision,1.086,0.905,0.1473
17,565,-20.35,collision,0.835,0.835,0.1386
18,444,-162.07,collision,0.611,0.611,0.1323
19,634,-203.42,collision,1.028,1.024,0.1240
20,604,-314.37,collision,1.664,1.664,0.1169
21,404,-192.40,collision,0.667,0.667,0.1126
22,473,106.91,goal,0.297,0.297,0.1078
23,563,-376.29,collision,1.958,1.104,0.1027
24,512,-365.25,collision,0.956,0.851,0.0983
25,1000,-61.88,timeout,2.319,1.118,0.0909
26,196,-115.11,collision,1.423,1.423,0.0896
27,752,-680.45,collision,0.847,0.345,0.0849
28,300,-186.29,collision,0.967,0.967,0.0832
29,539,-836.89,collision,0.836,0.836,0.0804
30,884,-416.56,collision,1.560,1.477,0.0762
31,783,-139.56,goal,0.295,0.295,0.0730
32,299,-579.97,collision,2.151,2.080,0.0719
33,1000,-764.57,timeout,1.264,1.268,0.0685
34,596,453.60,goal,0.295,0.295,0.0668
35,250,-236.14,collision,0.824,0.822,0.0661
36,965,248.72,goal,0.300,0.300,0.0637
37,132,348.34,goal,0.299,0.299,0.0634
38,934,307.00,goal,0.299,0.299,0.0615
39,1000,-612.62,timeout,0.958,0.775,0.0597
40,355,499.01,goal,0.297,0.297,0.0592
41,1000,-338.09,timeout,0.984,0.589,0.0577
42,386,265.59,goal,0.295,0.295,0.0573
43,1000,-422.79,timeout,1.284,0.929,0.0562
44,1000,-1218.56,timeout,2.437,1.226,0.0552
45,767,-60.90,goal,0.289,0.289,0.0546
46,168,330.83,goal,0.291,0.291,0.0545
47,863,-913.73,goal,0.295,0.295,0.0539
48,1,200.00,goal,0.076,0.076,0.0539
49,77,264.82,goal,0.299,0.299,0.0538
50,221,-122.05,collision,0.748,0.748,0.0537
51,1,-100.00,collision,1.432,1.432,0.0537
52,639,-706.84,goal,0.300,0.300,0.0533
53,150,353.85,goal,0.294,0.294,0.0532
54,123,302.06,goal,0.287,0.287,0.0532
55,128,247.85,goal,0.292,0.292,0.0531
56,512,-69.59,goal,0.294,0.294,0.0528
57,295,210.32,goal,0.294,0.294,0.0527
58,202,160.93,goal,0.297,0.297,0.0526
59,146,217.67,goal,0.285,0.285,0.0525
60,123,240.33,goal,0.298,0.298,0.0525
61,385,75.54,goal,0.295,0.295,0.0523
62,529,-849.14,collision,0.340,0.340,0.0521
63,1,-100.00,collision,1.556,1.556,0.0521
64,97,215.73,goal,0.298,0.298,0.0521
65,154,287.53,goal,0.291,0.291,0.0521
66,723,-716.57,collision,1.096,1.071,0.0518
67,140,297.44,goal,0.274,0.274,0.0518
68,315,-568.52,collision,0.754,0.754,0.0517
69,1,-100.00,collision,2.119,2.119,0.0517
70,59,267.30,goal,0.290,0.290,0.0517
71,74,245.04,goal,0.296,0.296,0.0517
72,451,72.26,goal,0.300,0.300,0.0515
73,150,258.92,goal,0.298,0.298,0.0515
74,292,-1016.29,collision,0.317,0.316,0.0514
75,1,-100.00,collision,2.335,2.335,0.0514
76,144,253.38,goal,0.288,0.288,0.0514
77,129,291.57,goal,0.295,0.295,0.0514
78,568,-323.14,goal,0.299,0.299,0.0512
79,110,-108.30,collision,0.377,0.377,0.0512
80,1,-100.00,collision,1.726,1.726,0.0512
81,81,305.33,goal,0.293,0.293,0.0512
82,1000,-1827.15,timeout,0.351,0.351,0.0510
83,92,307.82,goal,0.290,0.290,0.0510
84,307,279.80,goal,0.287,0.287,0.0509
85,1000,-364.24,timeout,2.184,1.401,0.0508
86,1000,-137.29,timeout,0.546,0.546,0.0507
87,1000,-231.14,timeout,0.333,0.333,0.0506
88,181,333.07,goal,0.296,0.296,0.0506
89,454,-341.48,collision,0.979,0.849,0.0505
90,1000,13.78,timeout,0.936,0.936,0.0504
91,78,300.13,goal,0.296,0.296,0.0504
92,216,356.28,goal,0.295,0.295,0.0504
93,587,250.52,goal,0.292,0.292,0.0504
94,318,-226.30,collision,0.615,0.614,0.0504
95,999,188.97,goal,0.293,0.293,0.0503
96,1,200.00,goal,0.112,0.112,0.0503
97,213,305.89,goal,0.296,0.296,0.0503
98,148,370.08,goal,0.290,0.290,0.0503
99,1000,43.44,timeout,1.372,0.913,0.0502
100,1000,-404.67,timeout,0.445,0.445,0.0502
101,129,300.75,goal,0.282,0.282,0.0502
102,142,302.84,goal,0.285,0.285,0.0502
103,171,378.19,goal,0.286,0.286,0.0502
104,91,275.56,goal,0.294,0.294,0.0502
105,803,-254.49,goal,0.298,0.298,0.0502
106,179,271.31,goal,0.295,0.295,0.0502
107,76,282.29,goal,0.292,0.292,0.0502
108,240,351.85,goal,0.297,0.297,0.0502
109,155,286.85,goal,0.294,0.294,0.0501
110,148,260.17,goal,0.298,0.298,0.0501
111,171,210.06,goal,0.299,0.299,0.0501
112,233,210.36,goal,0.290,0.290,0.0501
113,296,210.05,goal,0.299,0.299,0.0501
114,1,200.00,goal,0.218,0.218,0.0501
115,136,307.02,goal,0.287,0.287,0.0501
116,1,200.00,goal,0.175,0.175,0.0501
117,66,262.59,goal,0.296,0.296,0.0501
118,241,345.03,goal,0.291,0.291,0.0501
119,635,-213.38,collision,0.578,0.507,0.0501
120,124,327.47,goal,0.297,0.297,0.0501
121,130,338.45,goal,0.297,0.297,0.0501
122,550,312.71,goal,0.292,0.292,0.0501
123,384,346.52,goal,0.291,0.291,0.0501
124,154,275.49,goal,0.287,0.287,0.0501
125,241,-16.47,collision,0.391,0.363,0.0501
126,108,303.02,goal,0.289,0.289,0.0501
127,429,309.38,goal,0.287,0.287,0.0501
128,1000,-195.14,timeout,1.874,0.615,0.0501
129,151,339.78,goal,0.293,0.293,0.0501
130,85,282.58,goal,0.294,0.294,0.0501
131,394,342.22,goal,0.296,0.296,0.0501
132,121,346.77,goal,0.294,0.294,0.0501
133,1000,-1480.09,timeout,2.283,2.252,0.0500
134,513,390.32,goal,0.294,0.294,0.0500
135,121,340.45,goal,0.287,0.287,0.0500
136,523,172.65,goal,0.287,0.287,0.0500
137,131,314.98,goal,0.280,0.280,0.0500
138,261,297.14,goal,0.292,0.292,0.0500
139,165,357.17,goal,0.281,0.281,0.0500
140,438,12.90,goal,0.287,0.287,0.0500
141,105,296.76,goal,0.292,0.292,0.0500
142,225,341.72,goal,0.291,0.291,0.0500
143,49,256.43,goal,0.291,0.291,0.0500
144,118,244.36,goal,0.292,0.292,0.0500
145,159,296.06,goal,0.296,0.296,0.0500
146,142,345.95,goal,0.285,0.285,0.0500
147,118,324.16,goal,0.283,0.283,0.0500
148,154,322.70,goal,0.281,0.281,0.0500
149,148,301.13,goal,0.292,0.292,0.0500
150,280,250.88,goal,0.300,0.300,0.0500
151,136,365.96,goal,0.287,0.287,0.0500
152,76,277.93,goal,0.285,0.285,0.0500
153,74,284.02,goal,0.287,0.287,0.0500
154,559,-116.06,goal,0.298,0.298,0.0500
155,210,275.22,goal,0.294,0.294,0.0500
156,665,103.70,goal,0.290,0.290,0.0500
157,147,331.48,goal,0.294,0.294,0.0500
158,1000,-256.43,timeout,1.180,0.362,0.0500
159,153,346.01,goal,0.297,0.297,0.0500
160,93,295.77,goal,0.289,0.289,0.0500
161,74,260.15,goal,0.300,0.300,0.0500
162,787,122.66,goal,0.292,0.292,0.0500
163,512,-214.08,goal,0.281,0.281,0.0500
164,105,299.92,goal,0.290,0.290,0.0500
165,90,296.24,goal,0.281,0.281,0.0500
166,275,261.09,goal,0.283,0.283,0.0500
167,143,344.99,goal,0.299,0.299,0.0500
168,152,363.02,goal,0.295,0.295,0.0500
169,1000,-190.66,timeout,0.637,0.502,0.0500
170,64,256.97,goal,0.279,0.279,0.0500
171,119,299.83,goal,0.287,0.287,0.0500
172,179,385.18,goal,0.287,0.287,0.0500
173,116,334.26,goal,0.294,0.294,0.0500
174,135,198.72,goal,0.287,0.287,0.0500
175,118,325.71,goal,0.280,0.280,0.0500
176,71,254.32,goal,0.287,0.287,0.0500
177,460,-310.80,collision,1.175,0.997,0.0500
178,100,257.02,goal,0.288,0.288,0.0500
179,99,284.13,goal,0.276,0.276,0.0500
180,267,63.58,goal,0.293,0.293,0.0500
181,157,327.06,goal,0.295,0.295,0.0500
182,111,292.20,goal,0.287,0.287,0.0500
183,149,343.70,goal,0.279,0.279,0.0500
184,84,265.82,goal,0.299,0.299,0.0500
185,48,268.74,goal,0.288,0.288,0.0500
186,233,314.13,goal,0.294,0.294,0.0500
187,147,366.61,goal,0.298,0.298,0.0500
188,134,183.32,goal,0.289,0.289,0.0500
189,149,-100.17,collision,1.336,1.336,0.0500
190,1,-100.00,collision,2.550,2.550,0.0500
191,68,268.88,goal,0.284,0.284,0.0500
192,79,271.89,goal,0.289,0.289,0.0500
193,85,303.72,goal,0.291,0.291,0.0500
194,171,325.38,goal,0.296,0.296,0.0500
195,245,295.67,goal,0.299,0.299,0.0500
196,106,330.40,goal,0.285,0.285,0.0500
197,158,338.85,goal,0.287,0.287,0.0500
198,142,323.95,goal,0.278,0.278,0.0500
199,122,340.45,goal,0.294,0.294,0.0500
200,108,328.77,goal,0.286,0.286,0.0500
201,235,-35.89,goal,0.299,0.299,0.0500
202,129,277.96,goal,0.297,0.297,0.0500
203,172,41.50,goal,0.293,0.293,0.0500
204,129,321.92,goal,0.298,0.298,0.0500
205,129,343.59,goal,0.294,0.294,0.0500
206,119,-95.28,collision,0.433,0.433,0.0500
207,1,-100.00,collision,1.942,1.942,0.0500
208,1000,-271.73,timeout,1.054,0.807,0.0500
209,478,-166.97,goal,0.289,0.289,0.0500
